name,restaurant_reference,is_live,visible,effective_tax_pct,menu_count,item_count,order_count,multi_unit_link_slug,run,converted_at_utc
Tap 42 - Coral Springs,29a1d258-5273-4746-b55d-3955758a9734,true,true,7,1,30,3,tap42,chain run,2026-09-09T11:43:56.772Z
Tap 42 - Davie,4fdcd7ef-f214-48b5-9cdc-0e3d24ac19ec,true,true,7,1,30,1,tap42,mass run,2026-09-09T01:42:33.032Z
Tap 42 - Doral,8b68cae4-55a5-4f05-9c6f-5383f11d77fc,true,true,8,1,30,1,tap42,mass run,2026-09-09T01:43:15.181Z
Tap 42 - Fort Myers,61a6091b-caf7-42d7-ac32-f176dc7c27c5,true,true,6.5,1,30,1,tap42,mass run,2026-09-09T01:43:51.667Z
Tap 42 - Ft Lauderdale,57a9e421-686e-4159-ac78-31085420fa21,true,true,7,1,30,1,tap42,mass run,2026-09-09T01:44:31.242Z
Tap 42 - Kendall,0568c9cf-2074-4455-8dea-cc16e7858245,true,true,8,1,31,1,tap42,mass run,2026-09-09T01:45:05.072Z
Tap 42 - Miami,66eb3936-b529-47c7-8b5e-3195a7791d17,true,true,8,1,30,4,tap42,chain run,2026-09-09T11:44:32.059Z
Tap 42 - Naples,7bb4735b-119f-477e-9de6-dbbc79f58d07,true,true,6,1,30,3,tap42,chain run,2026-09-09T11:42:32.172Z
Tap 42 - Palm Beach Gardens,1a22dd6a-4fb3-4803-955e-9efeba2e2251,true,true,7,1,30,2,tap42,chain run,2026-09-09T11:41:59.997Z
Teranga,1eef42de-e410-4769-8af5-c1d267851a79,true,true,8.875,1,37,1,,mass run,2026-09-09T01:45:36.327Z
The Corner Street Taco Bar,739bc2d3-fcf3-4c87-904b-2757dfe4774e,true,true,6,1,4,1,,mass run,2026-09-09T01:45:45.784Z
Thea Bakery,95fe4ac3-8a2f-45c4-b255-ef4f26b6ec81,true,true,8.875,1,66,1,,mass run,2026-09-09T01:45:57.451Z
Toast & Taste Catering,04147a99-4f68-481a-aac7-933c8ef67d02,true,true,10.55,1,129,1,,mass run,2026-09-09T01:46:26.886Z
Trattoria Moderna Italian Catering,d265cc7c-a251-4015-88ef-d09bf84a9a88,true,true,10.25,1,61,1,,mass run,2026-09-09T01:46:49.686Z
Utopia Bagels,1acab412-b3e0-44de-91b1-f01cc49bd7f0,true,true,8.875,1,12,1,,mass run,2026-09-09T01:47:03.934Z
Veselka,d6a90372-7931-4ba0-a2ef-d448c3777e25,true,true,8.875,1,32,1,,mass run,2026-09-09T01:47:35.900Z
Vesti,119870c4-30f6-49c5-8e1c-897696c3bedc,false,true,9.75,1,38,1,,mass run,2026-09-09T01:48:01.827Z
Winfield Street Coffee - Croton,5fb5cfce-3f70-43f1-8399-fc2f52a61016,false,false,8.38,1,44,1,winfieldstreetcoffee,mass run,2026-09-09T01:48:35.558Z
Winfield Street Coffee - Naples South,18d74768-f6fd-4e70-a5f5-f2ff8a47fa01,false,false,6,1,44,4,winfieldstreetcoffee,chain run,2026-09-09T11:47:18.965Z
Winfield Street Coffee - New York City,6ce3636c-0b33-40fb-bba9-d05c382d4511,false,false,8.875,1,44,1,winfieldstreetcoffee,mass run,2026-09-09T01:49:06.222Z
Winfield Street Coffee - Rye,544ca778-96c2-4d6b-bc63-d18c2dd627cf,false,false,8.38,1,44,1,winfieldstreetcoffee,mass run,2026-09-09T01:49:38.972Z
Winfield Street Coffee - Stamford,dc5d3f5f-5613-46c3-a110-e909b3c70168,false,false,6.35,1,44,5,winfieldstreetcoffee,chain run,2026-09-09T11:46:46.443Z
Winfield Street Coffee - Westport,35781c2a-ce41-47a2-abf3-01661022cde9,false,false,6.35,1,44,1,winfieldstreetcoffee,mass run,2026-09-09T01:50:08.943Z
